iter	Passed	Remaining
533	2596	2265
534	2598	2258
535	2599	2250
536	2600	2242
537	2601	2233
538	2602	2226
539	2604	2218
540	2607	2211
541	2609	2204
542	2611	2197
543	2613	2190
544	2615	2183
545	2617	2176
546	2619	2169
547	2621	2162
548	2623	2155
549	2625	2148
550	2626	2140
551	2627	2132
552	2628	2124
553	2629	2117
554	2631	2109
555	2632	2101
556	2633	2094
557	2634	2087
558	2635	2079
559	2637	2072
560	2639	2065
561	2642	2059
562	2644	2052
563	2646	2045
564	2648	2038
565	2650	2032
566	2651	2024
567	2652	2017
568	2653	2009
569	2655	2003
570	2659	1997
571	2659	1990
572	2660	1982
573	2661	1974
574	2662	1967
575	2663	1960
576	2664	1953
577	2670	1949
578	2671	1942
579	2676	1937
580	2677	1930
581	2679	1924
582	2680	1917
583	2683	1911
584	2684	1904
585	2686	1898
586	2688	1891
587	2689	1884
588	2691	1877
589	2692	1871
590	2695	1865
591	2696	1858
592	2698	1852
593	2699	1845
594	2701	1838
595	2703	1832
596	2705	1826
597	2706	1819
598	2708	1812
599	2710	1807
600	2716	1803
601	2717	1796
602	2720	1791
603	2721	1784
604	2723	1778
605	2733	1777
606	2737	1772
607	2747	1771
608	2749	1765
609	2753	1760
610	2760	1757
611	2764	1752
612	2767	1747
613	2769	1740
614	2771	1734
615	2773	1728
616	2776	1723
617	2779	1717
618	2781	1712
619	2782	1705
620	2783	1699
621	2784	1692
622	2786	1685
623	2786	1679
624	2787	1672
625	2788	1666
626	2790	1659
627	2791	1653
628	2792	1647
629	2793	1640
630	2794	1634
631	2795	1627
632	2796	1621
633	2797	1614
634	2798	1608
635	2800	1602
636	2801	1596
637	2802	1589
638	2803	1583
639	2804	1577
640	2805	1571
641	2806	1565
642	2807	1558
643	2809	1552
644	2810	1546
645	2811	1540
646	2812	1534
647	2812	1527
648	2813	1521
649	2814	1515
650	2817	1510
651	2818	1504
652	2820	1498
653	2822	1493
654	2823	1487
655	2825	1481
656	2826	1475
657	2828	1469
658	2829	1464
659	2831	1458
660	2833	1453
661	2834	1447
662	2835	1441
663	2836	1435
664	2837	1429
665	2837	1423
666	2839	1417
667	2840	1411
668	2841	1406
669	2843	1400
670	2844	1394
671	2846	1389
672	2846	1383
673	2847	1377
674	2849	1371
675	2850	1366
676	2851	1360
677	2852	1354
678	2853	1348
679	2855	1343
680	2856	1337
681	2857	1332
682	2858	1326
683	2859	1321
684	2861	1315
685	2863	1310
686	2865	1305
687	2866	1299
688	2867	1294
689	2868	1288
690	2869	1283
691	2870	1277
692	2872	1272
693	2873	1266
694	2874	1261
695	2876	1256
696	2877	1250
697	2878	1245
698	2879	1239
699	2880	1234
700	2881	1229
701	2882	1223
702	2883	1218
703	2884	1212
704	2885	1207
705	2886	1201
706	2887	1196
707	2888	1191
708	2889	1186
709	2890	1180
710	2891	1175
711	2892	1170
712	2893	1164
713	2894	1159
714	2895	1154
715	2896	1148
716	2896	1143
717	2898	1138
718	2899	1133
719	2899	1127
720	2900	1122
721	2901	1117
722	2902	1112
723	2903	1106
724	2904	1101
725	2905	1096
726	2906	1091
727	2907	1086
728	2908	1081
729	2909	1076
730	2910	1071
731	2911	1065
732	2912	1060
733	2913	1055
734	2914	1050
735	2915	1045
736	2916	1040
737	2917	1035
738	2918	1030
739	2919	1025
740	2920	1020
741	2921	1015
742	2922	1010
743	2923	1005
744	2924	1001
745	2925	996
746	2926	991
747	2927	986
748	2928	981
749	2929	976
750	2930	971
751	2932	967
752	2933	962
